,Non-Ferrous Metals (usd/ton),Iron and Ferro-Alloys (usd/ton),Precious Metals (usd/ton),Mineral Fuels (usd/ton)
0,0.0028866695989320395,0.0002214929062420245,5.731803760728218,0.000155487215465803
1,0.005312159381497872,0.00022198213492001856,10.523893219591837,0.00028970247576445504
2,0.0037157313910133752,0.0002597763088505279,16.046724817647057,0.0002737041074769306
3,0.0007527486960395811,8.030972640759699e-08,0.4418418087965791,0.00046806916538251166
4,0.0037115546377948392,0.0006773474947869711,29.11356645061728,0.00010787866376898137
5,0.014081010307629063,0.0019693836460478818,40.154970292682926,0.0002600308051725639
6,0.01189031344678407,0.15234200519570487,31.22575142105263,0.00020183150363355026
7,0.0006600228522990948,0.002982859759972547,52.121920971929825,6.546076791013138e-05
8,0.004737244466263427,0.00019327573137197134,31.315905350574713,0.00046309928963391344
9,0.00446059917305206,0.00019616011398166137,7.797556666666667,0.0003261094189434642
10,0.00876927624995348,0.00035557023750363713,11.41369002570694,0.00043191980548363363
11,0.0,0.0,0.0,0.00046763272769300644
12,0.002500766574206263,inf,inf,0.0003117099050419098
13,0.010050298201081559,,,0.00044114418122220025
14,inf,inf,inf,0.0002592523633024611
15,0.002473023704231551,0.00029886357272208066,,0.00034823929832644864
16,0.0,0.0,0.0,0.0004869754899781811
17,0.0008958365111629057,0.0,0.0,0.0005071331153406728
18,107.31486649,0.008487740721153847,inf,1.651635165957016e-06
19,0.0009156229333217156,1.061590713446299e-05,0.5725445544554455,0.000544121158504346
20,inf,inf,inf,0.0003328163189869493
21,0.32552053014297533,0.13268438831028162,4146.7634565,3.863169627244658e-05
22,0.0023218694163298454,2.4314474054054056,0.0,0.00027098269685139106
23,0.0,0.0,,0.0006987659075191734
24,0.009317,0.0020258627788083067,38.74739772619048,0.0002796730175829205
25,0.0,3.0193677872553937e-05,inf,0.00036644895837417083
26,inf,0.001409018899227528,1.0150083039215685,inf
27,0.00010307722763079463,0.0,1.618841,0.00031468515724831066
28,0.002473,0.0002684604316546763,57.4666933076923,0.00029451435248047006
29,inf,inf,inf,4.9908775535590165e-05
30,0.49039060464190976,inf,inf,8.894892091041578e-06
31,inf,,inf,0.0002614723333688326
32,0.0014687071824005101,0.0,205.408469,0.00035391802101741984
33,0.0,0.08265863980073831,inf,0.00010645310384449297
34,0.002817760408927457,inf,43.37025,0.000340680235510622
35,8.773007118150616e-06,inf,0.0,0.0001392144972875691
36,,0.0,,0.00029189678988407664
37,0.041273429577464785,3.142049572649573e-05,665.1229355555556,0.0001697237658316132
38,0.016783065501040306,0.010454552410099464,3.5055435128205126,0.00019683133051172586
39,0.009676296031346026,0.0037377621183680232,inf,0.00028547151141028
